№,Name,Функция,ХАРАКТЕРИСТИКА МАТЕРИАЛА И ПОКРЫТИЯ,"Цена* без НДС, 
евро/кг"
1,РЕМ-АКВА ВД-АК 015 ,грунтовка акриловая быстросохнущая,"Изготавливается  на  базе  водоразбавляемой  полимерной  стирол-акрилатной 
дисперсии.  Применяется  для  грунтования  стальных  (в  т.ч.  оцинкованных), 
чугунных деталей, алюминия. Время высыхания до степени 3 – 1 час. Цвета: 
красно-коричневый, серый, белый.","4,85"
2,РЕМ-АКВА ВД-АК 116 ,краска-грунт акриловая быстросохнущая,"Изготавливается  на  базе  водоразбавляемой  полимерной  стирол-акрилатной 
дисперсии.  Применяется  для  покраски  стальных,  чугунных  деталей, 
металлоконструкций. Время высыхания до степени 3 – 1 час. Степень блеска: - 
шелковисто-матовый.","от 4,95"
3,РЕМ-ЛЮКС АС-0605  ,*барьерная грунтовка алкидная ,"Применяется  для  защиты  металлических  поверхностей,  деталей  и  узлов 
транспортных  средств,  сельхозтехники,  железнодорожного  подвижного  состава, 
оборудования, металлоконструкций перед последующей их окраской алкидными, 
алкидно-уретановыми, алкидно-акриловыми и другими эмалями.","3,15"
4,РЕМ-ЛЮКС АС-0605 ,*антикоррозионная грунтовка алкидная ,"Изготавливается  на  основе  модифицированной  алкидно-акриловой  смолы  с 
содержанием  фосфата  цинка,  как  активного  антикоррозионного  пигмента. 
Применяется для защиты стали, чугуна, дерева при проведении внутренних и 
наружных покрасочных работ. Возможно длительное использования без перекрытия 
эмалями. Время высыхания 30-35 минут. Цвета: серый, красно-коричневый, белый, 
черный, колеруется по запросу.","3,70"
5,ЭП-045  ,Грунтовка эпоксидная двухкомпонентная,"Применяется для антикоррозионной защиты изделий из металлов (углеродистой и 
оцинкованной стали, меди, алюминия и его сплавов), в машино-, станко-, вагоно- и 
судостроении, строительстве, городском хозяйстве и др., а также при проведении 
ремонтных работ. Цвет: коричнево-бежевый, серый, красно-коричневый, колеруется 
по запросу.","4,25"
6,РЕМ-ПОКС 2К ЭП-0607 ,грунтовка эпоксидная двухкомпонентная ,"Для антикоррозийной защиты стали (в т.ч. оцинкованной, сплавов из алюминия), 
чугуна,  бетона,  железобетона,  где  особо требуется  антикоррозийная  защита  и 
устойчивость к механическим и химическим воздействиям, износу и влаге. Покрытие 
устойчиво к влиянию кислотных и щелочных растворов, содержащей соль воды и 
агрессивных сточных вод. Цвет: серый, возможна колеровка в любой цвет. 
Эпоксидный  химстойкий  состав  с  низким  содержанием  растворителя.  Сухой 
объемный  остаток  –  80%.  Используется  как  самостоятельное  покрытие  без 
дальнейшего перекрытия. 
Эпоксидный  состав  с  низким  содержанием  растворителя  и  токопроводящими 
  свойствами. Сухой объемный остаток – 74%. Используется как самостоятельное 
антикоррозионное  покрытие  внутренних  стенок  металлических  резервуаров  для 
хранения нефтепродуктов.","5,70"
,РЕМ-ПОКС 2К ЭП-0607 ,грунтовка эпоксидная двухкомпонентная ,"Для антикоррозийной защиты стали (в т.ч. оцинкованной, сплавов из алюминия), 
чугуна,  бетона,  железобетона,  где  особо требуется  антикоррозийная  защита  и 
устойчивость к механическим и химическим воздействиям, износу и влаге. Покрытие 
устойчиво к влиянию кислотных и щелочных растворов, содержащей соль воды и 
агрессивных сточных вод. Цвет: серый, возможна колеровка в любой цвет. 
Эпоксидный  химстойкий  состав  с  низким  содержанием  растворителя.  Сухой 
объемный  остаток  –  80%.  Используется  как  самостоятельное  покрытие  без 
дальнейшего перекрытия. 
Эпоксидный  состав  с  низким  содержанием  растворителя  и  токопроводящими 
  свойствами. Сухой объемный остаток – 74%. Используется как самостоятельное 
антикоррозионное  покрытие  внутренних  стенок  металлических  резервуаров  для 
хранения нефтепродуктов.","7,15 HS (10 к 1) 
 
7,50 ( 5 к 1)"
,РЕМ-ПОКС 2К ЭП-0607 ,грунтовка эпоксидная двухкомпонентная ,"Для антикоррозийной защиты стали (в т.ч. оцинкованной, сплавов из алюминия), 
чугуна,  бетона,  железобетона,  где  особо требуется  антикоррозийная  защита  и 
устойчивость к механическим и химическим воздействиям, износу и влаге. Покрытие 
устойчиво к влиянию кислотных и щелочных растворов, содержащей соль воды и 
агрессивных сточных вод. Цвет: серый, возможна колеровка в любой цвет. 
Эпоксидный  химстойкий  состав  с  низким  содержанием  растворителя.  Сухой 
объемный  остаток  –  80%.  Используется  как  самостоятельное  покрытие  без 
дальнейшего перекрытия. 
Эпоксидный  состав  с  низким  содержанием  растворителя  и  токопроводящими 
  свойствами. Сухой объемный остаток – 74%. Используется как самостоятельное 
антикоррозионное  покрытие  внутренних  стенок  металлических  резервуаров  для 
хранения нефтепродуктов.","9,30 AS"
7,РЕМ-ЦИНК 2К  ,ЭП-0608 грунтовка эпоксидная ,"Изготавливается на базе комбинации эпоксидной и полиамидной смол с высоким 
содержанием цинка. Применяется для стальных деталей, в которых требуется 
высочайшая степень защиты от ржавчины. Осуществляет протекторную (катодную) 
защиту  стали  от  коррозии  –  метод  «холодного  цинкования»,  с  последующей 
финишной окраской. Цвет: темно-серый. Содержание цинка в сухой пленке – около 
90%.","9,60"
8,РЕМ-КРИЛ 2К АК-0606 ,грунтовка акрил-уретановая ,"Изготавливается на базе модифицированной акрил-уретановой смолы, является 
быстросохнущей / форсированно сохнущей акриловой грунтовкой для внутренних и 
наружных  работ  с  очень  хорошим  сцеплением  с  металлическими  и 
неметаллическими  поверхностями  (ПВХ),  обладающей,  также,  свойством 
антикоррозийной защиты для соответствующего нижнего слоя.","6,62"
9,РЕМ-ПОКС 1К ЭП-,7605 Грунт-эмаль эпоксидная ,"Грунт-эмаль эпоксидная однокомпонентная изготавливается на основе эпоксидной 
модифицированной  смолы.  Покрытие  обладает  высокой  конечной  твердостью  и 
эластичностью,  хорошими  свойствами  антикоррозийной  защиты  и  устойчиво  к 
влиянию кислотных и щелочных растворов, содержащей соль воды и агрессивных 
сточных вод. Может выпускаться с наполнителем MIOX (железная слюдка). Образует 
шелковисто-матовое покрытие.","~6,9 в 
зависимости  от 
цвета"
10,РЕМ-ЦИНК 1К ЭП-7606 ,Грунт-эмаль эпоксидная цинконаполненная ,"Грунт-эмаль эпоксидная цинконаполненная однокомпонентная изготавливается на 
базе  модифицированной  эпоксидной  смолы  с  высоким  содержанием  цинка 
Осуществляет протекторную (катодную) защиту стали от коррозии (метод «холодного 
цинкования»). Образует шелковисто-матовое, полуматовое покрытие. Содержание 
цинка 75%.","8,90"
11,РЕМ-ЛЮКС АС-1607 ,Грунт-эмаль алкидно-акриловая,"Грунт-эмаль алкидно-акриловая предназначена для окраски и защиты от коррозии 
металлических  поверхностей,  подвергающихся  атмосферным  воздействиям  или 
эксплуатируемых внутри помещений. Грунт-эмаль применяется для окраски цистерн, 
контейнеров,  автомобильного  и  железнодорожного  транспорта,  военной  и 
спецтехники. Содержит цинк-фосфатные антикоррозионные пигменты.","~5,10 в 
зависимости  от 
цвета"
12,РЕМ-ЛЮКС АС-1601 ,"эмали алкидно-акриловые, глянцевые ","Предназначены для внутренних и наружных работ; покрытие устойчиво к воздействию 
окружающей  среды,  обладает  хорошей  наполняющей  и  кроющей  способностью. 
применяется для окраски цистерн, контейнеров, автомобильного и железнодорожного 
транспорта, военной и спецтехники. 
Молотковая эмаль (модификация) благодаря тиксотропной регулировке, создает 
эффект рельефной поверхности, имитирующий чеканный металл. 
Эмаль  выпускается  в  версии  с  железной  слюдкой  (MIOX).  Образует 
дополнительную  барьерную  защиту.  Создает.  шероховатую    поверхность 
позволяющая визуально маскировать дефекты основания.","~5,90 
(зависит  от 
цвета) 
 
от 7,40 
       
от 7,40 
 
 
 5,6"
13,ЭП-152 ,Эмаль эпоксидная двухкомпонентная,"Эмаль состоит из смеси эпоксидной и перхлорвиниловой смол. Предназначена для 
защиты  от  коррозии  металлических  конструкций,  мостов,  эстакад,  газопроводов, 
нефтепроводов,  вагонов-минераловозов,  оборудования,  наружных  поверхностей 
емкостей для хранения нефти и нефтепродуктов, а также изделий из стали, чугуна, 
меди,  алюминия  и  их  сплавов,  эксплуатируемых  в  различных  климатических 
условиях.","4,5"
